                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.95599,                 0.5914,                 1.0537,                0.97152,                0.98329,                0.98267,                0.74794,                0.91552,                0.49455,                   1.08,              0.0017822,              0.0017822,              0.0017822
                     36,                0.89682,                0.55776,                 1.0151,                0.97813,                0.97852,                0.98044,                0.77629,                0.78924,                0.48336,                0.99409,              0.0017756,              0.0017756,              0.0017756
                     37,                 0.9199,                 0.5508,                 1.0385,                0.96729,                0.98568,                0.98094,                0.74737,                0.86856,                 0.4974,                 1.0532,               0.001769,               0.001769,               0.001769
                     38,                0.92072,                0.58791,                 1.0391,                0.97153,                0.97746,                0.98505,                0.81632,                0.76451,                0.45084,                0.98714,              0.0017624,              0.0017624,              0.0017624
                     39,                0.93702,                0.57226,                 1.0287,                0.97184,                0.98847,                0.98548,                0.79218,                0.77105,                0.47845,                0.99649,              0.0017558,              0.0017558,              0.0017558
                     40,                0.86188,                0.55906,                 1.0166,                0.96764,                0.97852,                0.98183,                0.78999,                0.75735,                0.45801,                0.98306,              0.0017492,              0.0017492,              0.0017492
                     41,                0.88529,                0.54374,                 1.0207,                0.97178,                0.98608,                0.98158,                 0.7892,                0.76833,                0.45649,                0.98754,              0.0017426,              0.0017426,              0.0017426
                     42,                0.86319,                  0.519,                 1.0107,                0.97634,                0.98496,                0.98497,                0.80568,                0.75273,                0.44359,                0.98346,               0.001736,               0.001736,               0.001736
                     43,                0.90936,                0.54047,                 1.0079,                0.97543,                0.97852,                0.98601,                0.80539,                0.79951,                0.46115,                 1.0083,              0.0017294,              0.0017294,              0.0017294
                     44,                0.89781,                0.55249,                 1.0017,                0.95771,                0.98568,                0.98075,                0.79246,                0.78007,                0.49662,                0.99102,              0.0017228,              0.0017228,              0.0017228
                     45,                0.89359,                0.52686,                 1.0194,                 0.9736,                0.98091,                0.98218,                0.77651,                0.81445,                0.47186,                0.99977,              0.0017162,              0.0017162,              0.0017162
                     46,                0.89223,                0.51503,                 1.0202,                0.97174,                0.98491,                0.98682,                0.79779,                0.75713,                0.45223,                0.98122,              0.0017096,              0.0017096,              0.0017096
                     47,                0.84817,                0.48518,                 1.0048,                0.97845,                0.97522,                 0.9812,                0.79247,                0.75381,                0.44604,                0.98326,               0.001703,               0.001703,               0.001703
                     48,                0.86546,                0.52198,                 1.0127,                0.96955,                  0.988,                0.98478,                0.81798,                0.72949,                0.47002,                0.97125,              0.0016964,              0.0016964,              0.0016964
                     49,                0.84347,                0.51934,                0.99836,                0.97178,                0.98091,                 0.9873,                0.77522,                0.87113,                 0.4525,                 1.0562,              0.0016898,              0.0016898,              0.0016898
                     50,                0.83884,                0.52714,                 1.0259,                0.97866,                0.98529,                0.98656,                0.79465,                0.78278,                0.45398,                0.99396,              0.0016832,              0.0016832,              0.0016832
                     51,                0.83851,                0.51386,                0.99186,                0.96884,                0.96462,                0.97506,                0.78628,                0.76041,                0.47859,                0.99213,              0.0016766,              0.0016766,              0.0016766
                     52,                 0.8325,                0.50425,                0.99934,                0.97724,                0.97852,                0.98332,                0.80761,                0.74372,                0.43997,                0.97412,                0.00167,                0.00167,                0.00167
                     53,                0.83789,                0.50584,                0.97861,                0.97289,                0.97852,                0.98883,                0.81968,                0.73746,                0.42508,                0.96701,              0.0016634,              0.0016634,              0.0016634
                     54,                0.84355,                0.47861,                0.99935,                0.96929,                0.98329,                0.98833,                0.80947,                0.76714,                0.44614,                0.99081,              0.0016568,              0.0016568,              0.0016568
                     55,                0.82651,                0.49443,                 1.0005,                0.97561,                0.98091,                0.98706,                0.81167,                0.75683,                0.43059,                 0.9819,              0.0016502,              0.0016502,              0.0016502
                     56,                0.84597,                0.50008,                0.99774,                0.97174,                0.98491,                0.98808,                 0.8141,                 0.7455,                0.41915,                0.97519,              0.0016436,              0.0016436,              0.0016436
                     57,                0.84061,                0.48298,                0.99863,                 0.9734,                0.98329,                0.98735,                0.82843,                0.73825,                0.40209,                0.96802,               0.001637,               0.001637,               0.001637
                     58,                0.85938,                0.50387,                0.99977,                0.97754,                0.98329,                0.98971,                0.82343,                0.76649,                0.42238,                 0.9772,              0.0016304,              0.0016304,              0.0016304
                     59,                0.81955,                0.49106,                0.98637,                0.97005,                0.97136,                0.98773,                0.82547,                0.71373,                0.44669,                0.95546,              0.0016238,              0.0016238,              0.0016238
                     60,                0.82085,                  0.499,                0.98747,                0.96868,                0.98807,                0.98374,                0.82036,                0.71528,                0.41785,                0.95525,              0.0016172,              0.0016172,              0.0016172
